siteID,sampleType,d15N,d13C,nitrogenPercent,carbonPercent,CNratio
HARV,vegetation,1.7,-28.3,1,43.1,42.8
HARV,vegetation,0.6,-28.7,1.3,45.15,34.1
HARV,vegetation,0.2,-26.9,0.9,38.1,41.4
HARV,vegetation,2.3,-27.9,0.9,42.7,47.2
HARV,vegetation,2.9,-28.8,1.1,45.3,41.3
HARV,vegetation,-0.4,-26.9,0.7,48.3,65.9
HARV,vegetation,0.7,-29,1.2,46.5,40.2
HARV,vegetation,-0.1,-29,0.4,46.5,121.7
HARV,vegetation,0.5,-27.2,0.7,52.3,74.2
HARV,vegetation,1.3,-28.1,0.8,48.65,60.5
HARV,vegetation,1.4,-27.9,0.5,48.7,95
HARV,vegetation,1.6,-26.8,1.5,33,21.8
HARV,vegetation,1.5,-28.5,0.9,40.7,43.2
HARV,vegetation,0.2,-27.5,2,26.3,13.2
HARV,vegetation,1.2,-28.1,0.9,42.7,45.2
HARV,vegetation,-0.4,-25.5,0.9,45.3,49.8
HARV,vegetation,2.3,-28.8,0.9,43.2,47.2
HARV,vegetation,2.1,-27.8,0.6,15.8,25.4
HARV,vegetation,2.2,-28.6,1,48.1,48.5
HARV,vegetation,1.5,-26.8,0.3,48.1,142.8
HARV,vegetation,-0.8,-29.6,0.6,48.7,88.5
HARV,vegetation,2.3,-28.2,1.1,47.3,41.3
HARV,vegetation,2.4,-28.5,0.9,48.1,54.3
HARV,vegetation,1.2,-28.3,0.4,46.4,115.1
HARV,vegetation,2.7,-27.9,1,45.2,43.1
HARV,vegetation,1.1,-27.9,1.1,42,37.9
HARV,vegetation,2.2,-28.8,0.9,42.8,45.5
HARV,vegetation,1.9,-29,0.6,44.6,75.1
HARV,vegetation,0.1,-29.1,1.2,49.1,42
HARV,vegetation,-1.6,-27,0.5,48.8,98.8
HARV,vegetation,0.9,-27.7,1.2,40.2,35
HARV,vegetation,-0.7,-30.8,0.3,48.3,146.6
HARV,vegetation,1,-28.5,0.8,31.5,41.8
HARV,vegetation,1.1,-28.2,0.8,33.7,39.7
HARV,vegetation,2,-28.5,1,47.7,48
HARV,vegetation,0.8,-28.1,0.7,45.4,67.3
