pitProfileID,depthIncrementID,topDepth,bottomDepth,depthIncrementVolume
YELL.1,YELL.1.60,60,70,0.0012
YELL.3,YELL.3.60,60,70,0.0012
YELL.2,YELL.2.140,140,160,0.002
YELL.2,YELL.2.40,40,50,0.001
YELL.1,YELL.1.30,30,40,0.001
YELL.1,YELL.1.100,100,120,0.002
YELL.3,YELL.3.160,160,180,0.002
YELL.3,YELL.3.100,100,120,0.002
YELL.2,YELL.2.120,120,140,0.002
YELL.1,YELL.1.120,120,140,0.002
YELL.3,YELL.3.10,10,20,0.001
YELL.2,YELL.2.180,180,200,0.002
YELL.3,YELL.3.120,120,140,0.002
YELL.1,YELL.1.40,40,50,0.001
YELL.2,YELL.2.80,80,90,0.001
YELL.1,YELL.1.10,10,20,0.001
YELL.1,YELL.1.180,180,200,0.002
YELL.2,YELL.2.10,10,20,0.001
YELL.2,YELL.2.160,160,180,0.002
YELL.2,YELL.2.0,0,10,0.001
YELL.2,YELL.2.30,30,40,0.001
YELL.1,YELL.1.140,140,160,0.002
YELL.3,YELL.3.20,20,30,0.001
YELL.1,YELL.1.20,20,30,0.001
YELL.2,YELL.2.70,70,80,0.0012
YELL.2,YELL.2.60,60,70,0.001
YELL.1,YELL.1.160,160,180,0.002
YELL.3,YELL.3.180,180,200,0.002
YELL.3,YELL.3.90,90,100,0.001
YELL.3,YELL.3.70,70,80,0.001
YELL.1,YELL.1.90,90,100,0.001
YELL.1,YELL.1.80,80,90,0.001
YELL.3,YELL.3.0,0,10,0.001
YELL.1,YELL.1.50,50,60,0.001
YELL.3,YELL.3.40,40,50,0.001
YELL.2,YELL.2.20,20,30,0.001
YELL.1,YELL.1.0,0,10,0.001
YELL.3,YELL.3.140,140,160,0.002
YELL.3,YELL.3.50,50,60,0.001
YELL.2,YELL.2.90,90,100,0.001
YELL.3,YELL.3.80,80,90,0.001
YELL.2,YELL.2.100,100,120,0.002
YELL.3,YELL.3.30,30,40,0.0012
YELL.2,YELL.2.50,50,60,0.001
YELL.1,YELL.1.70,70,80,0.001
