siteID,pitID,pitProfileID,rootStatus,sizeCategory,maxProfileDepth,totalRootBiomass,depth100RootBiomass
YELL,12_YELL_PIT1,YELL.1,dead,<=2mm,90,10.24,10.24
YELL,12_YELL_PIT1,YELL.3,live,>2mm,40,467.37,467.37
YELL,12_YELL_PIT1,YELL.1,live,<=2mm,200,1122.47,998.07
YELL,12_YELL_PIT1,YELL.3,dead,<=2mm,140,4.06,3.09
YELL,12_YELL_PIT1,YELL.1,dead,>2mm,90,11.83,11.83
YELL,12_YELL_PIT1,YELL.3,live,<=2mm,200,928.62,869.15
YELL,12_YELL_PIT1,YELL.1,live,>2mm,140,177.13,146.21
YELL,12_YELL_PIT1,YELL.2,dead,<=2mm,120,66.57,65.46
YELL,12_YELL_PIT1,YELL.3,dead,>2mm,60,3.21,3.21
YELL,12_YELL_PIT1,YELL.2,live,<=2mm,200,1125.89,1067.64
YELL,12_YELL_PIT1,YELL.2,dead,>2mm,70,45.58,45.58
YELL,12_YELL_PIT1,YELL.2,live,>2mm,60,168.08,168.08
